,Data i miejsce urodzenia:,Funkcja w Sejmie:,Klub/koło:,Liczba głosów:,Lista:,Okręg wyborczy:,Staż parlamentarny:,Strona WWW:,Tytuł/stopień naukowy:,Ukończona szkoła:,Wybrany dnia:,Wygaśnięcie mandatu:,Wykształcenie:,Zawód:,imie
310,15-01-1964,,Klub Parlamentarny Platforma Obywatelska,18099,Platforma Obywatelska,34  Elbląg,brak,,,"Akademia Wychowania Fizycznego Gdańsk, Wydział Trenerski, Koszykówka - magister (1987)",25-10-2015,,wyższe,nauczyciel,Jacek Protas
311,05-06-1967,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,29922,Platforma Obywatelska,3  Wrocław,poseł IV kadencji,,,"Uniwersytet Wrocławski, Wydział Filologiczny, Filologia Polska - magister (1994)",25-10-2015,,wyższe,filolog polski,Jacek Protasiewicz
312,Klub Parlamentarny Prawo i Sprawiedliwość,,brak,9382,Prawo i Sprawiedliwość,9  Łódź,Wybrany na stanowisko sędziego Trybunału Konstytucyjnego,,,wyższe,25-10-2015,2015-12-01,23-08-1970,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (1994)",Piotr Pszczółkowski
313,13-07-1982,,Klub Parlamentarny Prawo i Sprawiedliwość,12262,Prawo i Sprawiedliwość,27  Bielsko-Biała,brak,,,"Akademia Rolnicza w Krakowie, Wydział Hodowli i Biologii, Zootechnika - magister inżynier (2006)",25-10-2015,,wyższe,kierownik działu marketingu,Grzegorz Puda
314,08-07-1972,,Klub Poselski Nowoczesna,16716,Nowoczesna Ryszarda Petru,8  Zielona Góra,brak,, doktor,"Akademia Ekonomiczna w Poznaniu, Wydział Zarządzania, Międzynarodowe Stosunki Gospodarcze i Polityczne - magister (1996)",25-10-2015,,wyższe,przedsiębiorca,Paweł Pudłowski
315,01-01-1959,,Klub Parlamentarny Prawo i Sprawiedliwość,7326,Prawo i Sprawiedliwość,29  Gliwice,poseł VII kadencji,,,"Wyższa Szkoła Stosunków Międzynarodowych i Amerykanistyki w Warszawie, Wydział Politologia, Dyplomacja i Stosunki Międzynarodowe - licencjat (2011)",25-10-2015,,wyższe,parlamentarzysta,Piotr Pyzik
316,06-01-1958,,Klub Parlamentarny Platforma Obywatelska,12741,Platforma Obywatelska,10  Piotrków Trybunalski,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Medyczna w Łodzi, Wydział Lekarski - lekarz (1982)",25-10-2015,,wyższe,lekarz medycyny,Elżbieta Radziszewska
317,22-06-1955,,Klub Parlamentarny Prawo i Sprawiedliwość,22898,Prawo i Sprawiedliwość,8  Zielona Góra,"senator VI kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Wychowania Fizycznego, Wydział Wychowania Fizycznego, Nauczycielski - magister (1978)",25-10-2015,,wyższe,parlamentarzystka,Elżbieta Rafalska
318,09-07-1970,,Klub Parlamentarny Platforma Obywatelska,10485,Platforma Obywatelska,7  Chełm,"poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Inżynierska w Radomiu, Wydział Mechaniczny, Eksploatacja Pojazdów i Maszyn - magister inżynier (1994)",25-10-2015,,wyższe,parlamentarzysta,Grzegorz Raniewicz
319,30-09-1972,,Klub Parlamentarny Platforma Obywatelska,24543,Platforma Obywatelska,13  Kraków,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Papieski im. Jana Pawła II w Krakowie, Wydział Historii, Historia - magister (1998)",25-10-2015,,wyższe,historyk,Ireneusz Raś
320,02-09-1950,,Klub Poselski Kukiz'15,7740,Kukiz'15,40  Koszalin,brak,,,Zasadnicza Szkoła Zawodowa przy Koszalińskiej Wytwórni Części Samochodowych (1968),25-10-2015,,zasadnicze zawodowe,emeryt,Stefan Romecki
321,24-04-1986,,Klub Poselski Nowoczesna,20126,Nowoczesna Ryszarda Petru,31  Katowice,brak,,,"Uniwersytet Śląski, Wydział Nauk Społecznych, Politologia, Dziennikarstwo i Komunikacja Społeczna - magister (2010)",25-10-2015,,wyższe,politolog,Monika Rosa
322,25-05-1950,,Klub Parlamentarny Platforma Obywatelska,10115,Platforma Obywatelska,28  Częstochowa,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Wrocławski, Wydział Filologiczny, Bibliotekoznawstwo - magister (1973)",25-10-2015,,wyższe,bibliotekoznawca,Halina Rozpondek
323,24-01-1953,,Klub Poselski Nowoczesna,9508,Nowoczesna Ryszarda Petru,39  Poznań,brak,,,"Akademia Medyczna w Poznaniu, Wydział Lekarski - lekarz (1977)",25-10-2015,,wyższe,lekarz medycyny,Marek Ruciński
