,PiS,PO,Kukiz15,N,PSL-UED,WiS,niez.,Republikanie,posel,najblizsza_partia,partia_ostatnio
395,0.248539860301,0.765224554215,0.643166325398,0.773000597463,0.99980735889,0.489446477878,0.541390241963,0.938547486034,SZYD?O BEATA,PiS,PiS
396,0.727170261378,0.255718746308,0.571225221567,0.387756069598,0.99980735889,0.790676170295,0.617138484495,0.917613818789,SZYD?OWSKA BO?ENA,PO,PO
397,0.0587750472245,0.701436312425,0.555223766647,0.725136992441,0.99980735889,0.340258781224,0.429717566729,0.919925512104,SZYMA?SKA EWA,PiS,PiS
398,0.722425974148,0.169888333338,0.550569223519,0.31192336957,0.99980735889,0.788297052591,0.585603440631,0.912284081423,SZYMA?SKI TOMASZ,PO,PO
399,0.0727560502951,0.70683644506,0.569603443681,0.731673454549,0.99980735889,0.353724394786,0.436438371663,0.924292043922,SZYNKOWSKI VEL S?K SZYMON,PiS,PiS
400,0.180585656325,0.733995482643,0.604716333177,0.748364559725,0.99980735889,0.456893341039,0.485231994936,0.932896680152,SZYSZKO JAN,PiS,PiS
401,0.720469870703,0.262220892307,0.533248306156,0.170891212565,0.99980735889,0.786489436846,0.583976311259,0.910100815514,SZ?APKA ADAM,N,N
402,0.13334708819,0.733693715524,0.596559375091,0.75737140357,0.99980735889,0.407988184679,0.480930823495,0.919090733963,TARCZY?SKI DOMINIK,PiS,PiS
403,0.116018512252,0.713115662833,0.584856376791,0.733947885948,0.99980735889,0.39670262634,0.46387184168,0.929108071662,TCHÓRZEWSKI KRZYSZTOF,PiS,PiS
404,0.0761867746175,0.704545701825,0.570755637795,0.727622013811,0.99980735889,0.362412508829,0.441666819556,0.925576317986,TELUS ROBERT,PiS,PiS
405,0.0727333845765,0.706789702356,0.567776523253,0.730306909584,0.99980735889,0.358880755153,0.443320398859,0.919347588775,TERLECKI RYSZARD,PiS,PiS
406,0.0734967745546,0.711379418141,0.571273117178,0.734943283386,0.99980735889,0.357692801644,0.448625979641,0.929557567585,TOBISZOWSKI GRZEGORZ,PiS,PiS
407,0.674906449496,0.240469354438,0.487349461413,0.304142237147,0.99980735889,0.752061259873,0.546903599943,0.91042188403,TOKARSKA GENOWEFA,PO,UED
408,0.0656196792212,0.702647450649,0.560960615991,0.727607970343,0.99980735889,0.350128427406,0.43650296759,0.917356963976,TOMASZEWSKA EWA,PiS,PiS
409,0.732462300292,0.21543041597,0.56589970712,0.361339257653,0.999711038336,0.805397161754,0.6059740913,0.909298144224,TOMCZAK JACEK,PO,PO
410,0.706777088122,0.139390943041,0.521536947421,0.287567909481,0.99980735889,0.779862582675,0.560522791278,0.920053939511,TOMCZYK CEZARY,PO,PO
411,0.509473658853,0.505984285107,0.508784859706,0.507870765336,0.510113658255,0.510113658255,0.508540422526,0.510113658255,TOMCZYKIEWICZ TOMASZ,PO,
412,0.739454058722,0.289972833417,0.545775373524,0.195252880258,0.99980735889,0.786434855198,0.59547538016,0.90881654145,TRUSKOLASKI KRZYSZTOF,N,N
413,0.711271640099,0.16226797814,0.535931935013,0.309292675032,0.99980735889,0.774006292943,0.574638415695,0.913889424003,TRZASKOWSKI RAFA?,PO,PO
414,0.0443252454919,0.70065041555,0.558322808375,0.72700667128,0.99980735889,0.334479547936,0.428428858861,0.917613818789,TU?AJEW SYLWESTER,PiS,PiS
415,0.62299774861,0.571684407431,0.321350960149,0.586321195891,0.99980735889,0.7147338342,0.534964896509,0.914916843254,TYSZKA STANIS?AW,Kukiz15,Kukiz15
416,0.699186437786,0.126532091575,0.517519205761,0.281449680927,0.99980735889,0.766506132409,0.556651469424,0.907981763308,TYSZKIEWICZ ROBERT,PO,PO
417,0.69480266426,0.113782235341,0.512989731159,0.273285112037,0.99980735889,0.768265587876,0.552623588445,0.906954344057,URBANIAK JAROS?AW,PO,PO
418,0.0630610106685,0.707789350578,0.563363091106,0.730286467456,0.99980735889,0.351014576511,0.441241097993,0.916714826944,URUSKI PIOTR,PiS,PiS
419,0.0582481139273,0.701758818883,0.562437632923,0.727348137904,0.99980735889,0.344882167855,0.433820822363,0.917934887305,U?CI?SKI PIOTR,PiS,PiS
420,0.0671742146385,0.704927354141,0.564861207145,0.729499588221,0.99980735889,0.349955050408,0.439181519908,0.918127528415,W ?SIK MACIEJ,PiS,PiS
421,0.0906341595739,0.710773226088,0.573266013513,0.731905813033,0.99980735889,0.375351570025,0.450993248388,0.926989019457,WARGOCKA TERESA,PiS,PiS
422,0.0438024440084,0.701202528571,0.557739556131,0.727374707673,0.99980735889,0.33396583831,0.427905287846,0.91703589546,WARWAS ROBERT,PiS,PiS
423,0.0516800139012,0.702391618911,0.560123657223,0.728504131247,0.99980735889,0.340098246966,0.431696266126,0.917292750273,WARZECHA JAN,PiS,PiS
424,0.708514763949,0.151083489407,0.532681215766,0.301427042166,0.99980735889,0.782938419059,0.567738118172,0.90862390034,WASILEWSKA ANNA,PO,PO
425,0.0576602804088,0.702619201132,0.563984759636,0.728989012276,0.99980735889,0.346249919733,0.434828213055,0.92063186284,WASSERMANN MA?GORZATA,PiS,PiS
426,0.227112033197,0.750361679647,0.631563037526,0.759098303713,0.99980735889,0.493800166956,0.500529533717,0.941501316381,WASZCZYKOWSKI WITOLD,PiS,PiS
427,0.0518979126047,0.701955226036,0.560516086654,0.727675555319,0.99980735889,0.339417581712,0.430673357123,0.917292750273,WEBER RAFA?,PiS,PiS
428,0.715753133424,0.144644450243,0.52673833418,0.298865190628,0.99980735889,0.790952289219,0.572897842114,0.910935593656,WIELICHOWSKA MONIKA,PO,PO
429,0.710772552127,0.153774063403,0.524890227353,0.305280661511,0.99980735889,0.778186605022,0.571272700309,0.911385089578,WILCZY?SKI RYSZARD,PO,PO
430,0.746380420249,0.666966879113,0.530741029191,0.650669239547,0.99980735889,0.809908174404,0.665678234307,0.94368458229,WILK JACEK,Kukiz15,niez.
431,0.178654334541,0.728820785499,0.59859495298,0.741646806491,0.99980735889,0.441543055288,0.469192023435,0.91703589546,WILK JERZY,PiS,PiS
432,0.692258151064,0.112842573913,0.511067696793,0.271361768119,0.99980735889,0.767912412509,0.551894839359,0.906954344057,WILK WOJCIECH,PO,PO
433,0.57739057999,0.647506295081,0.488538600524,0.65389717901,0.99980735889,0.675338727284,0.484439337926,0.915751621396,WINNICKI ROBERT,niez.,niez.
434,0.708449761292,0.161455473076,0.532985258818,0.310820793271,0.99980735889,0.779702048417,0.576247198295,0.912091440313,WITCZAK MARIUSZ,PO,PO
435,0.091831760178,0.717744894274,0.582738725588,0.743024097346,0.99980735889,0.367645925641,0.460593732131,0.917549605086,WITEK EL?BIETA,PiS,PiS
436,0.0568547476261,0.702001452538,0.561144739663,0.727929218088,0.99980735889,0.341909073396,0.432990325135,0.917164322867,WOJCIECHOWSKI GRZEGORZ,PiS,PiS
437,0.0861477976807,0.708310266548,0.569604537974,0.734102635334,0.99980735889,0.366676298722,0.445473698373,0.921209786168,WOJTKIEWICZ MICHA?,PiS,PiS
438,0.0759374283628,0.711285468104,0.572279848938,0.735272001606,0.99980735889,0.352074102613,0.448468579623,0.918512810634,WO?NIAK GRZEGORZ ADAM,PiS,PiS
439,0.0468381441412,0.7021091337,0.558826722473,0.727913418177,0.99980735889,0.336052783664,0.428898459788,0.918063314711,WO?NIAK TADEUSZ,PiS,PiS
440,0.766266218199,0.462004905965,0.635397107783,0.347494548444,0.99980735889,0.822365632826,0.648229383579,0.951775508894,WRÓBLEWSKA KORNELIA,N,N
441,0.0486591035684,0.701606342376,0.559229246545,0.727464063004,0.99980735889,0.336887561806,0.429753954494,0.917356963976,WRÓBLEWSKA KRYSTYNA,PiS,PiS
442,0.0831018650208,0.70469412512,0.559933090923,0.726842362662,0.99980735889,0.35580491877,0.438598933441,0.920824503949,WRÓBLEWSKI BART?OMIEJ,PiS,PiS
443,0.100855436104,0.712877525428,0.578659552922,0.736421578723,0.99980735889,0.353088679124,0.463455828617,0.917292750273,WYPYCH MA?GORZATA,PiS,PiS
444,0.714625181032,0.147939263551,0.536078338552,0.30059973897,0.99980735889,0.7875810698,0.573504508719,0.912733577345,WÓJCIK MAREK,PO,PO
445,0.0536739998694,0.702665485627,0.560178769818,0.727636484309,0.99980735889,0.340162460669,0.432394972373,0.916779040647,WÓJCIK MICHA?,PiS,PiS
446,0.453011988288,0.548625662573,0.413665123829,0.544576632871,0.748314390291,0.601650292172,0.479681408298,0.748314390291,WÓJCIKOWSKI RAFA?,Kukiz15,
447,0.0798025046431,0.707325366769,0.566100556268,0.731293815897,0.99980735889,0.357660694792,0.445273106995,0.917934887305,ZAGÓRSKI MAREK,PiS,PiS
