voting,date,time,amendment
glos_102_73,09-10-2015,10:19:57,False
glos_102_74,09-10-2015,10:20:26,False
glos_102_75,09-10-2015,10:21:24,False
glos_102_76,09-10-2015,10:22:21,False
glos_102_77,09-10-2015,10:23:00,False
glos_102_78,09-10-2015,10:23:41,False
glos_102_79,09-10-2015,10:24:21,False
glos_102_8,09-10-2015,09:18:43,False
glos_102_80,09-10-2015,10:24:58,False
glos_102_9,09-10-2015,09:19:47,False
glos_10_1,16-03-2012,09:04:53,False
glos_10_10,16-03-2012,09:38:40,True
glos_10_11,16-03-2012,09:39:53,True
glos_10_12,16-03-2012,09:40:50,True
glos_10_13,16-03-2012,09:41:55,True
glos_10_14,16-03-2012,09:43:11,True
glos_10_15,16-03-2012,09:44:04,True
glos_10_16,16-03-2012,09:44:48,True
glos_10_17,16-03-2012,09:47:58,True
glos_10_18,16-03-2012,09:49:01,True
glos_10_19,16-03-2012,09:49:52,True
glos_10_2,16-03-2012,09:13:16,True
glos_10_20,16-03-2012,09:50:53,True
glos_10_21,16-03-2012,09:51:48,True
glos_10_22,16-03-2012,09:52:48,True
glos_10_23,16-03-2012,09:53:36,True
glos_10_24,16-03-2012,09:57:28,True
glos_10_25,16-03-2012,09:58:30,True
glos_10_26,16-03-2012,09:59:36,True
glos_10_27,16-03-2012,10:09:31,False
glos_10_28,16-03-2012,10:11:23,False
glos_10_29,16-03-2012,10:17:58,False
glos_10_3,16-03-2012,09:14:22,True
glos_10_30,16-03-2012,10:30:44,False
glos_10_31,16-03-2012,10:34:37,False
glos_10_32,16-03-2012,10:39:55,False
glos_10_33,16-03-2012,10:41:54,False
glos_10_34,16-03-2012,10:44:03,False
glos_10_4,16-03-2012,09:17:50,False
